[2019-08-02 21:00:27,173 INFO] Step 88750/177468; acc:  52.01; ppl: 10.78; xent: 2.38; lr: 0.00002; 3996/1254 tok/s;     17 sec
[2019-08-02 21:00:47,165 INFO] Step 88800/177468; acc:  53.30; ppl: 10.05; xent: 2.31; lr: 0.00002; 10461/3074 tok/s;     37 sec
[2019-08-02 21:01:06,141 INFO] Step 88850/177468; acc:  52.22; ppl: 10.71; xent: 2.37; lr: 0.00002; 11011/3096 tok/s;     56 sec
[2019-08-02 21:01:23,877 INFO] Step 88900/177468; acc:  53.41; ppl:  9.89; xent: 2.29; lr: 0.00002; 11622/3174 tok/s;     74 sec
[2019-08-02 21:01:41,981 INFO] Step 88950/177468; acc:  52.36; ppl: 10.83; xent: 2.38; lr: 0.00002; 10605/3260 tok/s;     92 sec
[2019-08-02 21:02:01,131 INFO] Step 89000/177468; acc:  52.62; ppl: 10.73; xent: 2.37; lr: 0.00002; 10296/3047 tok/s;    111 sec
[2019-08-02 21:02:20,629 INFO] Step 89050/177468; acc:  52.73; ppl: 10.30; xent: 2.33; lr: 0.00002; 9786/3198 tok/s;    130 sec
[2019-08-02 21:02:39,165 INFO] Step 89100/177468; acc:  52.51; ppl: 10.49; xent: 2.35; lr: 0.00002; 10953/3318 tok/s;    149 sec
[2019-08-02 21:02:58,095 INFO] Step 89150/177468; acc:  52.74; ppl: 10.27; xent: 2.33; lr: 0.00002; 11178/3013 tok/s;    168 sec
[2019-08-02 21:03:17,505 INFO] Step 89200/177468; acc:  52.79; ppl: 10.20; xent: 2.32; lr: 0.00002; 10435/3046 tok/s;    187 sec
[2019-08-02 21:03:35,489 INFO] Step 89250/177468; acc:  53.62; ppl:  9.80; xent: 2.28; lr: 0.00002; 10488/3265 tok/s;    205 sec
[2019-08-02 21:03:54,396 INFO] Step 89300/177468; acc:  52.28; ppl: 10.76; xent: 2.38; lr: 0.00002; 11435/3062 tok/s;    224 sec
[2019-08-02 21:04:11,643 INFO] Step 89350/177468; acc:  54.82; ppl:  9.16; xent: 2.21; lr: 0.00002; 10871/3189 tok/s;    241 sec
[2019-08-02 21:04:30,660 INFO] Step 89400/177468; acc:  53.13; ppl: 10.29; xent: 2.33; lr: 0.00002; 10655/3149 tok/s;    260 sec
[2019-08-02 21:04:48,610 INFO] Step 89450/177468; acc:  54.29; ppl:  9.41; xent: 2.24; lr: 0.00002; 10763/3131 tok/s;    278 sec
